jp,#genre#
K2,http://nerdsvpn.nl:8080/9513739718/5914837179/364298
K3,http://he11o.akadatel.com/iptv/DSVPF5Z9B55L4A/6225/index.m3u8
彩虹e台,mitv://generationnexxxt.com:18806/15320e3bb32c41d391a42714bbf5a045
彩虹电影台,mitv://generationnexxxt.com:18806/115d17e43d50427eb43e3ff6acde8a2e
LOOK TV,mitv://generationnexxxt.com:18806/b58f5519b3734a3da72d2a0c5d88c2d8
潘朵啦玩美台,mitv://generationnexxxt.com:18806/4b6f680d6a9a440e9e778a1482ec8402
惊艳成人电影台,mitv://generationnexxxt.com:18806/9b1f1e5146c2426f8ea6c509e1c3b925
松视1台,mitv://generationnexxxt.com:18806/0e62fa03e12946b2856b0530c11fdbb0
松视2台,mitv://generationnexxxt.com:18806/3b59c2adca134540b2512f6a72108a8c
PLAYBOY,mitv://generationnexxxt.com:18806/1ea235b4262a4d528bedec4d7f2814f9
香蕉台,mitv://generationnexxxt.com:18806/a4aff22693ef4c80aabf4ae598fe1301
松视3台,mitv://generationnexxxt.com:18806/f26c61bde69444caa3b464ce0fea6dfd
JStar极限台,mitv://generationnexxxt.com:18806/6529f599e56244ecbbaf528c3353db1a
HAPPY,mitv://generationnexxxt.com:18806/16e547483a044b22b749ec3184d1ad52
K,mitv://generationnexxxt.com:18806/23c8720eb31c4658be71378b19859a1c

$ucomist,#genre#
Extasy 4K,http://5052ce10.ucomist.net/iptv/TDUKETNZMEXB6M/5014/index.m3u8
Cum 4k,http://5052ce10.ucomist.net/iptv/TDUKETNZMEXB6M/6190/index.m3u8
Tiny 4K,http://5052ce10.ucomist.net/iptv/TDUKETNZMEXB6M/6258/index.m3u8
SEX_VR,http://5052ce10.ucomist.net/iptv/TDUKETNZMEXB6M/19406/index.m3u8

$56d0d5e9,#genre#
BCU Charm HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/18053/index.m3u8
Blacked HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6178/index.m3u8
Brazzers HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6182/index.m3u8
Cum4k,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6190/index.m3u8
Digital Desire HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6195/index.m3u8
Evil Angel HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6199/index.m3u8
Extasy HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6201/index.m3u8
Hustler HD Europe,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/244/index.m3u8
Kinoshka Adult HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/18060/index.m3u8
KinoXXX,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/11052/index.m3u8
Love's Berry HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/14140/index.m3u8
MetArt HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6233/index.m3u8
MYLF TV HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/6236/index.m3u8
Playboy Plus,http://a0bn5xro.rostelekom.xyz/iptv/Y4TCLSTRUETTUS/6242/index.m3u8
Plus Milf HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12130/index.m3u8
SL HOT 1 HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12161/index.m3u8
SL HOT 2 HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12162/index.m3u8
SL HOT 3 HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12163/index.m3u8
SL HOT 4 HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12164/index.m3u8
SL HOT 5 HD,http://56d0d5e9.akadatel.com/iptv/7LL5FKWDQVAZBW/12165/index.m3u8
